radeg,decdeg,Johnson_V,Johnson_B
29.414086,37.655261,15.374,15.859
29.645579,37.840253,15.163,15.859
29.607864,37.763923,14.828,15.849
29.535679,37.921959,15.222,15.822
29.276791,37.658399,14.903,15.817
29.297469,37.644135,15.283,15.796
29.484507,37.971085,15.187,15.784
29.585851,38.047024,15.218,15.769
29.542791,37.589497,14.447,15.764
29.406267,38.060039,15.217,15.755
29.773941,37.665667,15.162,15.738
29.700471,37.766096,14.931,15.716
29.261619,37.948193,15.123,15.7
29.256431,37.646068,14.906,15.698
29.446424,38.047316,14.895,15.688
29.523223,37.57788,14.653,15.682
29.206275,37.801427,14.582,15.658
29.674922,37.667976,14.373,15.646
29.657627,38.01052,14.778,15.641
29.522354,38.004575,15.141,15.64
29.314977,37.629421,14.982,15.619
29.604909,37.978979,15.152,15.61
29.605999,37.754603,14.921,15.573
29.490125,37.850964,14.826,15.572
29.43616,37.676033,14.188,15.538
29.188072,37.796015,14.512,15.528
29.430639,37.945785,14.751,15.523
29.455858,37.878592,15.039,15.515
29.209142,37.918112,14.84,15.51
29.70822,37.996122,14.536,15.496
29.20997,37.970804,14.813,15.462
29.383595,37.961248,14.674,15.42
29.50653,37.831469,15.044,15.408
29.544926,37.982727,14.794,15.407
29.634306,37.586018,14.451,15.338
29.811262,37.786668,14.808,15.311
29.341304,37.613494,14.487,15.288
29.399661,37.972981,14.196,15.208
29.392042,37.774856,14.612,15.178
29.658528,37.989426,14.619,15.151
29.420595,37.663985,14.095,15.144
29.687751,37.945518,14.098,15.132
29.381904,37.684108,14.08,15.091
29.258225,37.985827,14.343,15.07
29.592991,37.722707,14.16,15.033
29.41204,37.763092,13.983,15.026
29.26106,38.006874,14.086,15.016
29.603742,37.591713,14.283,14.983
29.50714,37.749849,13.525,14.983
29.501056,37.953077,14.408,14.981
29.266801,37.619674,14.113,14.972
29.505552,37.76041,14.416,14.969
29.408295,37.791408,14.061,14.965
29.574008,37.564807,14.213,14.91
29.219342,37.814213,14.334,14.896
29.464304,37.664646,14.076,14.892
29.150923,37.791097,14.233,14.866
29.51552,37.979913,13.865,14.858
29.623817,37.837334,14.269,14.85
29.326546,37.876201,14.079,14.847
29.825521,37.831601,13.927,14.833
29.293252,37.887911,14.124,14.767
29.787447,37.893955,14.155,14.738
29.587683,38.009913,13.939,14.737
29.385678,37.701555,13.912,14.726
29.323568,37.888978,14.124,14.725
29.738823,37.661307,13.797,14.709
29.323669,37.834994,14.138,14.688
29.831584,37.767202,13.717,14.676
29.389556,37.833841,13.59,14.666
29.289809,37.854453,13.535,14.657
29.153647,37.753508,13.832,14.616
29.394991,37.627888,14.056,14.574
29.337677,37.710046,13.922,14.573
29.591657,37.556962,13.851,14.522
29.598682,38.026693,13.551,14.522
29.212309,37.948084,13.694,14.509
29.640262,38.007982,13.725,14.487
29.668494,37.913457,13.766,14.485
29.601936,37.776785,13.616,14.468
29.684847,37.644333,13.775,14.462
29.284235,37.802031,13.883,14.383
29.643369,37.670857,13.587,14.315
29.656148,37.915434,13.582,14.314
29.312933,37.903126,13.517,14.31
29.28368,37.815692,13.663,14.27
29.476587,37.716957,13.131,14.248
29.601558,37.867176,13.332,14.215
29.60548,37.874162,13.395,14.165
29.358989,37.682123,13.692,14.16
29.575598,37.949703,13.379,14.126
29.238067,37.946245,12.977,14.024
29.607989,37.946939,12.869,14
29.293179,37.606003,13.446,13.995
29.444846,37.983802,13.511,13.945
29.329038,37.652974,12.893,13.914
29.563829,37.555419,13.202,13.897
29.34575,37.639244,13.119,13.88
29.407338,37.83068,13.107,13.874
29.272801,37.845204,13.028,13.747
29.570547,37.648508,13.194,13.699
29.526189,37.63514,13.019,13.692
29.612355,37.876629,13.126,13.647
29.478678,37.79817,13.147,13.639
29.72287,37.986652,12.891,13.629
29.321723,37.681041,13.078,13.622
29.586881,37.685732,13.046,13.601
29.515557,37.786591,12.345,13.516
29.511615,38.04172,12.828,13.434
29.517633,37.83636,12.912,13.41
29.300438,37.903944,12.933,13.371
29.740387,37.640911,12.756,13.341
29.605375,37.748595,12.118,13.315
29.602171,37.96394,12.593,13.226
29.296736,37.673882,12.578,13.182
29.271621,38.005866,12.707,13.165
29.736417,37.832929,11.912,13.153
29.221741,37.675851,12.532,13.149
29.300494,37.968339,12.623,13.134
29.615308,37.867345,12.058,13.123
29.648097,38.044816,12.26,13.114
29.46848,38.052869,12.544,13.074
29.30265,37.655852,11.874,12.965
29.534076,37.828442,12.207,12.905
29.4952,37.690771,12.269,12.872
29.293697,38.035148,12.3,12.864
29.299901,37.69939,12.308,12.821
29.342869,37.606419,12.235,12.816
29.349184,37.869943,12.209,12.761
29.58269,37.611797,12.144,12.695
29.545285,37.710582,12.154,12.694
29.464344,37.884745,11.746,12.63
29.738976,37.732286,12.113,12.626
29.531974,38.008587,11.932,12.608
29.330913,37.98983,12.053,12.564
29.617883,37.942969,12.178,12.562
29.300702,37.934627,11.902,12.507
29.555923,37.740188,12.025,12.491
29.614993,37.589496,11.875,12.372
29.552382,38.066471,11.345,12.342
29.666939,37.634748,11.835,12.33
29.518683,37.844631,11.849,12.231
29.263262,37.929039,11.736,12.208
29.830628,37.845737,11.5,12.166
29.479986,37.87943,11.6,12.041
29.382719,37.894607,11.577,12.033
29.585777,38.05374,10.904,11.987
29.490791,37.806202,11.331,11.826
29.547584,37.659268,11.344,11.778
29.359028,37.655586,11.262,11.702
29.260391,37.885471,11.211,11.671
29.551093,37.543943,11.129,11.622
29.570288,37.63775,11.17,11.597
29.233869,37.986666,11.077,11.597
29.232386,37.799808,11.17,11.582
29.44642,37.791715,10.915,11.304
29.552923,37.577886,10.892,11.288
29.532107,37.665824,10.866,11.251
29.364472,37.586196,10.739,11.133
29.357988,37.861828,10.195,11.128
29.485186,37.833608,10.636,11.067
29.681057,37.904143,10.646,11.015
29.358349,37.722108,10.422,10.858
29.442013,38.074474,10.425,10.831
29.433233,37.86166,10.385,10.808
29.414431,37.873822,10.408,10.791
29.16343,37.86141,10.355,10.75
