radeg,decdeg,Johnson_V,Johnson_B
18.984878,58.881389,15.089,15.419
18.992221,59.036002,14.374,15.409
19.006983,58.801267,14.021,15.39
19.231242,58.890407,14.564,15.386
19.212389,58.653169,14.825,15.371
18.699746,58.76338,14.574,15.371
18.592875,58.871573,14.01,15.371
18.978017,58.763457,13.692,15.36
19.203813,58.660149,14.581,15.356
19.160416,58.725709,14.542,15.352
18.729456,58.862561,14.63,15.346
18.530032,58.764373,14.554,15.344
19.301281,58.693649,14.023,15.343
18.70544,58.620418,14.017,15.338
19.280373,58.91859,14.268,15.333
19.010267,58.705117,14.388,15.331
19.248905,58.598313,14.728,15.328
19.351336,58.986019,13.976,15.308
18.742593,58.735495,13.913,15.303
18.896912,58.603668,14.451,15.302
18.955374,58.862234,13.946,15.302
19.14326,59.019273,14.357,15.293
18.86295,58.980945,14.086,15.288
19.09806,58.824323,14.577,15.28
19.402514,58.708333,14.684,15.279
18.952541,58.611962,13.616,15.273
19.11023,58.940295,14.328,15.266
18.813112,58.911684,14.51,15.261
19.218468,59.016907,13.765,15.257
18.861042,58.82182,13.744,15.254
18.792135,58.944089,14.518,15.252
18.786352,58.651251,14.72,15.251
18.966096,58.824885,14.839,15.25
19.081491,58.63038,13.879,15.246
19.300956,58.634149,14.579,15.24
19.122545,58.62717,14.634,15.224
18.838723,58.924146,14.309,15.206
18.561011,58.820434,14.203,15.202
18.783941,58.729978,14.037,15.152
18.935089,58.724584,13.582,15.148
19.330517,58.857719,14.258,15.142
19.130666,58.672979,14.539,15.134
19.312812,58.846488,14.174,15.131
19.181959,58.8857,13.317,15.128
18.976803,58.921022,14.274,15.096
19.311904,58.916884,14.397,15.088
19.283097,58.937459,13.757,15.084
18.723438,58.649277,14.629,15.077
18.657434,58.73259,14.629,15.075
18.990188,58.892522,14.508,15.068
18.673318,58.779734,14.232,15.065
18.683923,58.874465,14.299,15.062
19.196295,58.862282,13.932,15.055
19.304162,58.833372,13.735,15.053
18.629164,59.004025,14.499,15.039
18.984258,58.903415,14.671,15.038
