radeg,decdeg,Johnson_V,Johnson_B
84.076017,33.879938,15.18,16.355
84.190114,34.19043,15.342,16.351
83.96468,34.016106,15.409,16.344
83.911816,34.063832,15.451,16.337
83.871716,34.134645,14.437,16.332
84.074844,34.09395,15.378,16.301
84.254726,34.071131,15.327,16.298
83.774677,34.034098,15.625,16.292
84.221628,33.96264,15.485,16.291
84.058166,34.184796,15.347,16.291
84.000457,34.289024,15.542,16.287
83.979716,33.868529,15.554,16.276
83.81586,34.023248,15.473,16.266
84.305355,34.114357,15.278,16.266
84.197895,34.105492,15.477,16.263
84.125543,33.961725,14.766,16.261
83.836954,34.034627,15.542,16.251
84.016453,34.051108,15.142,16.245
84.083266,34.022139,15.395,16.239
83.976635,34.059838,15.508,16.236
83.927729,34.090977,15.564,16.235
83.953305,34.129493,15.062,16.229
84.179649,34.111011,15.357,16.181
83.862032,34.079541,15.36,16.18
83.994462,33.930209,15.259,16.174
84.089879,34.189355,15.316,16.173
83.845678,34.097158,15.312,16.172
83.899161,34.094985,14.735,16.161
84.260753,33.962005,14.503,16.161
84.053653,34.164164,15.106,16.14
84.03875,33.962479,15.242,16.13
84.156055,33.996274,15.297,16.123
84.014489,34.136015,15.243,16.121
84.178769,34.368893,15.313,16.118
84.104774,34.217741,15.228,16.118
84.01963,34.373117,14.276,16.118
83.939602,34.248833,15.199,16.117
83.871323,34.097973,15.318,16.11
83.993875,34.146717,15.129,16.099
83.941781,34.033872,15.253,16.095
83.988037,34.3355,15.162,16.095
84.154464,34.335411,15.424,16.087
83.852226,34.048861,15.335,16.076
84.232907,33.98943,15.208,16.07
83.857895,33.984395,15.262,16.064
84.340188,34.155115,15.233,16.064
84.380739,34.173677,15.185,16.056
84.073469,34.278485,15.181,16.056
84.264545,33.991778,15.37,16.055
84.179644,34.110891,15.402,16.045
84.243297,34.11012,14.955,16.045
84.255295,34.294916,15.129,16.029
84.2145,33.96492,15.261,16.015
84.14541,33.891138,15.293,16.014
83.854246,33.934209,14.638,16.009
84.021637,34.073098,15.108,16.004
83.901287,34.27299,15.084,16.004
84.219984,34.116274,15.154,15.994
84.051541,33.933969,14.343,15.992
83.761358,34.181431,15.114,15.978
84.221196,34.336491,14.8,15.976
84.074466,33.857431,15.016,15.971
84.059956,34.092064,15.255,15.97
84.254219,33.946014,14.327,15.97
83.966978,33.945686,15.122,15.964
83.818287,33.976888,15.128,15.96
84.24286,34.109797,15.069,15.954
83.990182,34.102758,15.213,15.949
84.249978,33.911933,15.181,15.948
84.008554,34.180892,15.008,15.935
84.041195,34.381187,14.302,15.917
84.291938,34.034053,14.982,15.911
84.388203,34.095776,15.141,15.904
83.939387,34.357539,15.132,15.901
84.298127,34.066933,14.962,15.884
83.978473,33.855812,14.516,15.884
84.259039,34.324779,14.169,15.883
84.172422,34.218248,14.969,15.873
84.118974,34.150715,15.084,15.854
84.226444,34.171476,14.954,15.85
84.008908,33.945667,15.26,15.846
84.257986,34.007216,14.155,15.846
84.221296,34.008554,15.042,15.837
83.826766,34.001112,15.056,15.835
83.935111,33.948037,15.031,15.833
83.974574,34.308775,14.934,15.817
84.248685,34.340249,14.982,15.816
84.29352,34.161506,14.929,15.813
83.957645,34.326494,14.984,15.805
