radeg,"raerr("")",decdeg,"decerr("")",Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.303196,0.48,-10.354809,0.325,17.223,0.061,16.82,0.26
196.158944,0.339,-10.697886,0.315,17.225,0.078,16.818,0.156
195.982303,0.579,-10.676771,0.439,17.548,0.148,16.804,0.084
195.720676,0.793,-10.415089,0.454,17.36,0.133,16.803,0.079
196.086673,0.588,-10.723081,0.294,17.279,0.033,16.803,0.066
196.028456,0.424,-10.56463,0.571,18.041,0.145,16.801,0.105
196.301787,0.8,-10.231516,0.614,17.875,0.231,16.801,0.126
195.866041,0.597,-10.45575,0.427,17.753,0.169,16.798,0.149
196.479904,0.641,-10.3674,0.325,18.166,0.107,16.796,0.049
196.184323,0.549,-10.506119,0.424,17.492,0.06,16.788,0.109
196.368668,0.594,-10.421121,0.518,17.428,0.123,16.786,0.063
195.68715,0.802,-10.446408,0.44,17.494,0.088,16.781,0.093
195.709479,0.612,-10.120818,0.5,17.832,0.155,16.775,0.084
195.75213,0.574,-10.4855,0.26,17.55,0.132,16.774,0.105
195.735693,0.522,-10.457473,0.297,17.276,0.074,16.774,0.101
195.919755,0.521,-10.720344,0.348,17.399,0.089,16.771,0.069
196.063841,0.625,-10.7342,0.327,17.533,0.087,16.768,0.155
196.328199,0.392,-10.370961,0.37,17.658,0.111,16.751,0.102
196.102877,0.566,-10.046505,0.475,17.554,0.112,16.748,0.068
195.941154,0.596,-10.400273,0.263,18.186,0.151,16.744,0.099
195.997202,0.533,-10.474348,0.258,18.231,0.135,16.74,0.101
196.136137,0.528,-10.599407,0.325,17.516,0.101,16.732,0.167
195.998926,0.372,-10.590638,0.36,17.148,0.12,16.727,0.115
195.695961,0.782,-10.162399,0.602,17.662,0.168,16.711,0.067
195.98746,0.676,-10.540042,0.511,17.524,0.208,16.704,0.155
196.204084,0.709,-10.707736,0.448,17.789,0.087,16.702,0.056
196.079713,0.633,-9.97626,0.454,18.134,0.193,16.69,0.068
195.867304,0.509,-10.315014,0.354,17.044,0.034,16.689,0.07
196.024451,0.55,-10.010902,0.262,17.059,0.075,16.686,0.107
196.176504,0.41,-10.229093,0.36,17.198,0.061,16.68,0.075
195.715139,0.579,-10.571424,0.307,18.057,0.13,16.678,0.082
195.655047,0.274,-10.264922,0.24,16.392,0.091,16.678,0.092
195.850074,0.556,-10.503397,0.296,17.223,0.074,16.676,0.082
196.335173,0.371,-10.315438,0.292,17.731,0.211,16.669,0.109
196.303244,0.502,-10.302707,0.312,17.233,0.101,16.669,0.069
196.106356,0.724,-10.303092,0.395,17.847,0.166,16.668,0.094
195.845658,0.425,-10.38648,0.379,17.443,0.072,16.659,0.132
196.268432,0.516,-10.098267,0.361,17.223,0.031,16.659,0.088
196.401133,0.878,-10.085467,0.429,17.274,0.072,16.656,0.128
196.147417,0.754,-10.196912,0.43,17.233,0.072,16.651,0.055
195.692027,0.385,-10.372222,0.452,17.072,0.069,16.649,0.115
196.361926,0.252,-10.398604,0.203,16.73,0.049,16.634,0.084
195.896073,0.525,-9.976136,0.303,17.758,0.087,16.623,0.168
196.10857,0.379,-9.920925,0.338,17.147,0.075,16.61,0.089
195.943783,0.478,-10.486984,0.375,17.272,0.033,16.603,0.146
196.457169,0.937,-10.291626,0.6,17.186,0.167,16.602,0.166
195.871882,0.413,-10.303714,0.337,17.138,0.019,16.602,0.099
196.248937,0.604,-10.155993,0.378,17.435,0.056,16.59,0.072
196.069904,0.514,-9.950522,0.255,17.101,0.042,16.577,0.096
195.674495,0.365,-10.38106,0.479,17.064,0.102,16.565,0.042
195.906431,0.37,-10.352056,0.291,17.894,0.1,16.551,0.106
196.085844,0.496,-9.919607,0.269,17.198,0.077,16.551,0.099
195.856911,0.58,-10.610831,0.54,17.313,0.115,16.55,0.111
196.102142,0.553,-9.937503,0.443,17.254,0.072,16.55,0.095
195.878535,0.575,-10.136183,0.276,17.008,0.092,16.549,0.137
195.878656,0.512,-10.040749,0.454,16.967,0.088,16.537,0.084
195.947511,0.493,-10.672241,0.341,17.034,0.049,16.522,0.134
196.253225,0.535,-10.386146,0.324,17.017,0.042,16.514,0.075
196.471439,0.569,-10.288331,0.379,17.55,0.066,16.512,0.022
196.185375,0.498,-10.048464,0.716,17.464,0.04,16.508,0.001
196.246235,0.519,-10.659871,0.434,17.03,0.088,16.507,0.063
196.154751,0.435,-10.458465,0.382,16.935,0.027,16.487,0.099
195.798325,0.468,-10.626843,0.325,17.65,0.095,16.486,0.068
195.900316,0.452,-10.47641,0.413,17.041,0.061,16.479,0.055
196.177607,0.467,-10.420659,0.229,16.907,0.046,16.473,0.055
195.942743,0.568,-9.969772,0.294,17.935,0.17,16.467,0.172
196.071667,0.434,-10.040224,0.483,17.463,0.159,16.464,0.061
195.746447,0.502,-10.280133,0.421,17.095,0.096,16.459,0.073
195.958766,0.481,-9.956044,0.43,17.719,0.109,16.457,0.064
196.327494,0.434,-10.339771,0.335,17.701,0.25,16.457,0.098
196.424714,0.34,-10.421323,0.247,17.044,0.087,16.453,0.089
195.684838,0.553,-10.533492,0.372,17.213,0.063,16.42,0.045
196.019212,0.477,-10.621686,0.296,17.057,0.031,16.42,0.059
195.872883,0.529,-10.693418,0.386,16.828,0.039,16.419,0.083
195.733002,0.342,-10.086899,0.282,16.974,0.063,16.406,0.028
195.963918,0.437,-10.667622,0.271,16.83,0.056,16.406,0.055
195.857097,0.452,-10.65916,0.248,17.735,0.069,16.388,0.13
196.089643,0.509,-10.627422,0.323,16.785,0.034,16.384,0.088
196.385201,0.724,-10.240661,0.391,17.007,0.063,16.382,0.181
196.21399,0.437,-9.96448,0.35,16.812,0.086,16.378,0.06
195.797959,0.337,-10.231594,0.229,16.812,0.053,16.374,0.067
196.071414,0.502,-10.489892,0.316,17.056,0.111,16.365,0.091
