radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.14793,0.304,-10.38869,0.232,15.953,0.044,16.653,0.101,16.266,0.022,15.861,0.045
195.892317,0.317,-10.514515,0.305,16.035,0.077,16.594,0.065,16.282,0.022,15.829,0.04
195.948649,0.308,-10.176212,0.188,16.04,0.045,17.029,0.068,16.505,0.042,15.823,0.045
196.010314,0.258,-10.068774,0.237,15.969,0.031,16.666,0.087,16.323,0.031,15.761,0.038
195.990458,0.607,-10.156353,0.786,15.997,0.097,16.927,0.092,16.474,0.077,15.756,0.062
196.09199,0.193,-10.341737,0.229,15.973,0.09,16.76,0.085,16.359,0.068,15.729,0.042
195.922461,0.247,-10.378375,0.176,15.912,0.038,16.614,0.061,16.237,0.031,15.728,0.084
196.14901,0.351,-10.17791,0.188,15.983,0.096,17.018,0.153,16.458,0.039,15.7,0.038
195.946144,0.234,-10.530386,0.228,16.005,0.099,17.045,0.029,16.467,0.06,15.699,0.029
196.075776,0.277,-10.491847,0.312,15.936,0.103,16.71,0.115,16.254,0.037,15.686,0.02
195.978651,0.255,-10.454929,0.155,15.829,0.054,16.453,0.096,16.068,0.055,15.67,0.067
196.077515,0.277,-10.342606,0.23,15.913,0.102,16.791,0.074,16.257,0.058,15.666,0.031
195.725934,0.304,-10.295135,0.249,16.251,0.052,17.678,0.115,17.049,0.07,15.659,0.045
195.965174,0.245,-10.283204,0.234,15.938,0.038,16.827,0.107,16.326,0.039,15.652,0.048
195.941023,0.235,-10.34823,0.162,15.878,0.04,16.873,0.078,16.328,0.065,15.597,0.056
195.930454,0.243,-10.222083,0.195,15.756,0.014,16.627,0.051,16.194,0.05,15.57,0.057
196.241095,0.253,-10.435061,0.268,16.118,0.047,17.585,0.131,16.985,0.073,15.561,0.096
196.116194,0.305,-10.173866,0.196,15.695,0.056,16.324,0.087,16.001,0.052,15.541,0.059
195.844545,0.292,-10.370207,0.215,15.595,0.039,16.123,0.067,15.842,0.028,15.539,0.054
196.055933,0.375,-10.064699,0.258,16.162,0.055,17.559,0.188,16.915,0.041,15.535,0.046
195.8974,0.214,-10.555978,0.216,15.711,0.037,16.365,0.05,16,0.019,15.527,0.053
196.167564,0.373,-10.385188,0.176,15.967,0.064,17.166,0.079,16.571,0.025,15.518,0.037
195.909822,0.249,-10.105224,0.183,15.76,0.039,16.779,0.119,16.221,0.066,15.508,0.036
195.901028,0.256,-10.55089,0.138,15.829,0.046,16.931,0.076,16.347,0.02,15.485,0.051
196.124561,0.321,-10.498901,0.173,16.121,0.04,17.584,0.121,16.901,0.036,15.484,0.057
195.74643,0.236,-10.248701,0.173,15.666,0.06,16.439,0.059,16.021,0.025,15.425,0.053
196.026226,0.302,-10.25563,0.183,15.599,0.053,16.326,0.078,15.923,0.027,15.422,0.042
195.914994,0.24,-10.06557,0.201,15.653,0.028,16.588,0.089,16.068,0.06,15.419,0.04
196.098452,0.267,-10.494504,0.143,15.686,0.031,16.521,0.068,16.048,0.023,15.414,0.047
195.969016,0.224,-10.400741,0.314,15.994,0.06,17.344,0.126,16.802,0.059,15.411,0.064
196.012299,0.296,-10.340619,0.342,15.628,0.056,16.512,0.091,16.082,0.057,15.407,0.052
196.024853,0.212,-10.106912,0.156,15.439,0.023,15.91,0.031,15.645,0.034,15.397,0.049
195.814772,0.322,-10.28854,0.297,15.85,0.039,17.071,0.113,16.43,0.035,15.391,0.071
196.081558,0.34,-10.419457,0.276,15.783,0.036,16.881,0.09,16.328,0.06,15.356,0.056
195.892113,0.276,-10.150536,0.184,15.565,0.041,16.519,0.056,16.037,0.027,15.343,0.039
196.164857,0.16,-10.338373,0.196,15.51,0.064,16.338,0.042,15.866,0.007,15.341,0.069
196.153851,0.15,-10.250607,0.16,15.444,0.044,16.142,0.047,15.747,0.035,15.294,0.052
196.061762,0.184,-10.583378,0.204,15.528,0.04,16.39,0.07,15.944,0.024,15.274,0.037
196.212485,0.167,-10.306396,0.13,15.411,0.05,16.143,0.048,15.74,0.024,15.25,0.065
195.972334,0.396,-10.285575,0.18,15.36,0.042,15.902,0.064,15.58,0.025,15.224,0.057
195.887768,0.217,-10.152922,0.16,15.382,0.054,16.053,0.093,15.704,0.034,15.188,0.036
196.208407,0.163,-10.477493,0.152,15.263,0.059,15.801,0.05,15.502,0.032,15.152,0.033
