radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
196.400238,0.342,-10.352787,0.291,14.605,0.02,6,15.91,0.046,6,NA,NA,0,15.295,0.027,6,14.072,0.019,6,13.55,0.158,6,13.029,0.133,3,NA,NA,0
196.40084,0.259,-10.22117,0.253,13.673,0.025,6,14.309,0.036,6,NA,NA,0,13.942,0.021,6,13.54,0.035,6,13.419,0.166,6,13.353,0.127,2,NA,NA,0
196.402416,0.687,-10.309668,0.618,17.55,0.139,2,18.078,0.199,2,NA,NA,0,17.831,0.099,3,17.31,0.126,3,NA,NA,0,NA,NA,0,NA,NA,0
196.410964,0.457,-10.171563,0.417,17.284,0.012,2,18.122,0.174,2,NA,NA,0,17.629,0.136,6,17.201,0.212,6,16.277,0.255,1,NA,NA,0,NA,NA,0
196.411692,0.286,-10.118619,0.204,14.328,0.024,6,15.232,0.045,6,NA,NA,0,14.726,0.021,6,14.081,0.05,6,13.892,0.179,6,13.676,0.219,1,NA,NA,0
196.412105,0.717,-10.316133,0.103,NA,NA,0,NA,NA,0,NA,NA,0,18.12,0.157,1,17.677,0.23,1,NA,NA,0,NA,NA,0,NA,NA,0
196.415847,0.276,-10.190934,0.197,17.801,0.246,1,17.936,0.206,1,NA,NA,0,17.458,0.024,2,17.068,0.064,2,NA,NA,0,NA,NA,0,NA,NA,0
196.417136,0.634,-10.380234,0.429,17.214,0.141,1,18.049,0.211,1,NA,NA,0,17.76,0.169,5,17.126,0.186,5,NA,NA,0,NA,NA,0,NA,NA,0
196.417217,0.608,-10.35677,0.352,17.554,0.2,1,18.353,0.274,1,NA,NA,0,17.986,0.037,2,17.527,0.011,2,NA,NA,0,NA,NA,0,NA,NA,0
196.418978,0.371,-10.526121,0.892,NA,NA,0,NA,NA,0,NA,NA,0,17.902,0.165,1,17.149,0.206,1,NA,NA,0,NA,NA,0,NA,NA,0
